FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	expr_LNPEP
NA12005	NA12005	0.0090828	-0.0136906	0.0257136	0.0397233	-0.0308471	-0.0404678	-0.0424262	0.0139832	-0.053204	-0.0628683	10.9592575691366
NA12156	NA12156	0.0102868	-0.0135276	0.027577	0.0469516	-0.048267	-0.0209667	0.0200978	-0.012473	0.0132298	-0.0806013	12.0296402855359
NA12234	NA12234	0.0117744	-0.0136449	0.0282226	0.0259644	-0.0324608	-0.0205989	-0.0125352	-0.0141115	0.0265694	-0.0171137	14.0636098517768
NA12760	NA12760	0.0112716	-0.0169008	0.0240099	0.0262267	-0.0550084	-0.0303204	-0.00318985	-0.0199143	0.035068	-0.0103958	12.5920042470716
NA12762	NA12762	0.0141104	-0.0123136	0.0250109	0.0226472	-0.0400021	-0.0283752	-0.00824695	-0.0408749	0.0630796	0.0322105	13.5431306438509
NA12776	NA12776	0.0136104	-0.00227165	0.021328	0.0347048	-0.0425514	-0.0238683	-0.000940356	-0.012219	-0.00992585	0.0038568	13.4617464383367
NA12813	NA12813	0.010208	-0.0163095	0.0304163	0.0319639	-0.0389464	-0.0255281	0.000836908	-0.056959	0.0185722	-0.0148518	10.5173106362766
NA20514	NA20514	0.0080876	-0.0502234	0.0098939	-0.0424751	0.0251951	-0.00722366	-0.0087141	-0.00012972	0.0132912	-0.0503321	9.70116770104155
HG00096	HG00096	0.042546	-0.00912986	0.038363	0.0743647	0.0575353	-0.0250238	0.0584245	0.0599311	-0.043592	-0.00605726	15.061044419201
HG00097	HG00097	-0.165945	0.0280185	0.0478739	0.0528249	0.0397174	0.0271093	0.0394027	-0.0108682	0.0505612	-0.0408432	15.5635483185708
HG00099	HG00099	-0.165696	0.0296832	0.057413	0.0610283	0.0484948	-0.000668655	0.0538361	-0.00885433	-0.0808208	-0.0464024	10.2967515236501
HG00100	HG00100	0.0372322	-0.00826237	0.035647	0.0927032	0.0809567	-0.0148124	0.11407	-0.0102511	-0.053901	-0.0330894	14.346983424363
HG00101	HG00101	-0.10824	0.0290794	0.147857	0.0481643	0.0578892	-0.0200875	0.0471465	0.0199048	-0.000117135	-0.104461	14.1729513860226
HG00102	HG00102	-0.102577	0.0317177	0.136381	0.0484315	0.0435948	-0.0105602	0.0898777	0.0947462	-0.00532725	0.0463727	18.4485092166928
HG00103	HG00103	0.0454771	-0.00345795	0.0229002	0.073485	0.0556488	-0.0131094	0.00712984	0.0496381	-0.00822008	0.0513816	12.908781165441
HG00104	HG00104	-0.174417	0.0233821	0.0285662	0.044398	0.0285829	0.00459598	0.0336212	0.00550824	0.004282	-0.0301845	11.2674927611028
HG00106	HG00106	-0.00241117	-0.0102273	-0.0656883	0.0985966	0.0335799	-0.0269877	0.031739	0.0228037	-0.0920611	-0.0352489	15.656625923601
HG00108	HG00108	0.0420943	-0.000570852	0.0411452	0.0684229	0.0406171	0.0101612	0.0272463	0.0198618	-0.0479807	-0.0926987	13.4753512144876
HG00109	HG00109	-0.0856514	0.0221643	0.127994	0.0363414	0.0528819	-0.0150741	0.0538726	0.142367	-0.0519587	-0.0263773	12.6573369640989
HG00110	HG00110	-0.0702375	0.0226879	0.121605	0.0405396	0.0377098	-0.011467	0.0118772	0.0380126	-0.0287434	-0.103367	12.1424333066072
HG00111	HG00111	0.0400327	0.00357273	0.0408948	0.0773147	0.0306339	0.014754	0.0830835	0.0285685	-0.0454301	-0.00615285	15.6480603462439
HG00112	HG00112	0.0135335	-0.00206077	-0.0548679	0.108133	0.0794514	0.0263733	0.136577	-0.0406038	-0.0698745	-0.0538305	13.5934633427038
HG00114	HG00114	0.0421404	-0.000916445	0.0192367	0.0852493	0.064428	-0.0292346	0.145663	0.0794453	-0.0288327	-0.00510787	12.3369121431192
HG00116	HG00116	0.0336235	-0.00802482	0.0660464	0.0672591	0.0430524	-0.00315147	0.452003	0.204962	0.011798	-0.0216619	13.3858903446086
HG00117	HG00117	0.0318084	-0.00755823	0.0526888	0.0639372	0.0140355	0.0212068	0.0883386	0.0421264	0.00898212	-0.024699	14.8233636158081
HG00118	HG00118	0.000669872	-0.00714992	-0.057682	0.108986	0.0565914	-0.0127638	0.0146515	0.00465538	-0.129592	-0.108423	14.8231606420069
HG00119	HG00119	0.0398547	-0.00654399	0.0741727	0.110826	0.101614	0.666969	-0.0677503	-0.00173703	0.00303754	0.0349767	13.0213913946224
HG00120	HG00120	0.0347454	-0.00836543	0.0661165	0.0801742	0.0350713	-0.00556519	0.458452	0.203767	-0.00554172	-0.00457744	13.4529018032349
HG00121	HG00121	-0.0616577	0.0245256	0.105896	0.0370269	0.0134538	-0.00172931	0.0351975	0.0483506	-0.0081923	-0.0662175	14.0709300151176
HG00122	HG00122	0.000870967	-0.00693177	-0.0715784	0.10204	0.0381765	-0.00426914	-0.00387108	-0.0728912	-0.0577934	-0.0411373	15.1766333541897
HG00123	HG00123	0.0319211	-0.00539702	0.0319393	0.0774617	0.0232529	0.0300113	0.144913	-0.119938	-0.0247595	-0.0542781	13.8429279814717
HG00124	HG00124	0.0360737	-0.00478828	0.0733232	0.105059	0.0899296	0.645989	-0.091009	0.00231921	-0.00384302	0.0276741	16.935957356956
HG00125	HG00125	0.031266	0.0020392	0.0372552	0.0694349	-0.0121729	-0.00763525	0.0503422	-0.0153973	-0.0830973	-0.121828	12.2431447572831
HG00126	HG00126	-0.00461605	-0.0125606	-0.0721517	0.0885098	0.0433185	-0.0248821	-0.0130382	-0.0496555	-0.0813473	-0.0601083	14.1292662416108
HG00127	HG00127	0.0427796	-0.00801174	0.0277252	0.0729922	0.0398511	-0.0176417	0.00870378	-0.00213506	0.0232196	0.0253249	11.3319239125157
HG00128	HG00128	-0.164886	0.0211471	0.0228023	0.0318326	0.0336424	-0.00175517	0.0235553	-0.0147957	0.0446134	0.0877159	11.0381606999276
HG00129	HG00129	-0.158441	0.0260545	0.0278031	0.0352864	0.0183975	-0.0248557	0.006003	-0.0218931	0.0129612	-0.0274858	17.6050774023431
HG00130	HG00130	-0.161899	0.0181414	0.0459479	0.0350609	0.0223884	-0.0049026	0.00508101	-0.045714	0.0195751	-0.0363168	13.2667756165369
HG00131	HG00131	0.0376367	-0.0107047	0.0361387	0.0418374	0.0191438	0.00806266	0.0370016	-0.060498	0.0316714	0.051816	16.7657303218865
HG00133	HG00133	0.0317903	-0.0131746	0.0369284	0.0402423	0.0166801	0.019597	0.031818	-0.036873	0.0567467	0.0347286	15.5967453725802
HG00134	HG00134	-0.167186	0.0277335	0.0370249	0.0677058	0.052266	-0.0435413	-0.0171108	-0.309824	0.162511	0.0232162	11.7426229876197
HG00135	HG00135	-0.172497	0.0231867	0.0313307	0.0449404	0.0209236	-0.00338193	-0.0431676	0.0101167	0.0284087	-0.0766144	12.9171665376871
HG00136	HG00136	0.0366928	-0.00454673	0.0190799	0.047257	-0.00665387	-0.0204722	0.0150345	0.000472009	0.00128416	0.00853076	13.7297697322467
HG00137	HG00137	0.0309238	-0.00825194	0.0329002	0.0548216	-0.0185315	-0.00823817	-0.0110919	0.0333416	-0.0442743	-0.00481704	14.1167745482941
HG00138	HG00138	0.039133	-0.00413852	0.0272845	0.0467468	0.0194533	-0.0231309	-0.0358338	0.00699899	0.00334193	0.0417605	13.2541173771153
HG00139	HG00139	0.0233227	-0.0119159	0.0344777	0.0425005	-0.0432497	-0.0104746	-0.0446634	-0.0183038	-0.0177671	-0.0102542	15.0765159016253
HG00141	HG00141	-0.0464077	-0.0100515	-0.158838	0.0979323	0.0152078	-0.0169895	-0.0396435	0.00832791	0.0322593	-0.0277588	13.7367625182446
HG00142	HG00142	-0.00413664	-0.00930323	-0.0675296	0.093496	0.0845657	-0.0497716	0.0115326	-0.324427	0.126455	0.0655608	10.7837263914689
HG00143	HG00143	-0.00086765	-0.0119461	-0.0885783	0.0817998	0.0594465	-0.0258004	0.0448883	-0.0578631	-0.0204178	0.00675968	15.027368215006
HG00146	HG00146	0.0317693	-0.0120635	0.0226472	0.0326612	-0.00207042	-0.00891111	0.0525046	0.00886926	0.00259717	0.0614589	14.1480960648021
HG00148	HG00148	0.000619068	-0.0088935	-0.0592392	0.0854286	0.00584613	-0.0295833	0.0272055	-0.0335665	-0.0387675	-0.0125831	12.05685527257
HG00149	HG00149	0.00427998	-0.00804481	-0.0727426	0.0817896	0.0415632	-0.0163598	-0.0110616	-0.0892654	-0.0224172	-0.0352656	12.1600084972671
HG00150	HG00150	0.00562184	-0.00706211	-0.0676121	0.0890912	0.0400707	-0.0181305	-0.0365537	-0.104604	-0.0185453	-0.0690129	13.3674427984295
HG00151	HG00151	0.018024	0.000292248	-0.0602671	0.0853706	0.0916567	-0.0118212	-0.0129635	-0.0496886	-0.0362562	-0.0674625	12.2338007055897
HG00152	HG00152	0.00302314	-0.0103654	-0.0718902	0.0907804	0.0510653	-0.0167404	-0.0228692	-0.0883836	-0.0118177	0.0439629	13.1556298252018
HG00154	HG00154	0.0329084	-0.0069025	0.0230294	0.0316211	-0.0175907	-0.00757304	-0.0234859	-0.0430799	-0.00159427	-0.0136588	11.8634293040346
HG00155	HG00155	0.0276585	-0.0112507	0.0195412	0.0321916	-0.0394258	-0.0242227	-0.00212738	-0.0472053	0.00829687	0.00659712	14.4836350943434
HG00156	HG00156	-0.00105062	-0.011456	-0.0610187	0.0922414	0.0169566	-0.0249177	-0.0237484	-0.0257458	-0.0693742	-0.0517629	10.2829950845259
HG00158	HG00158	0.031857	-0.0109197	0.0332454	0.0380706	0.00726283	-0.00167502	0.0309977	-0.0157699	0.0418239	0.0269346	12.7143030287496
HG00159	HG00159	0.0371536	-0.0127295	0.0361906	0.0330145	0.0139085	-0.0186811	0.0160183	-0.0180525	0.0364791	0.0650935	12.6103612478437
HG00160	HG00160	0.0352395	-0.00976795	0.0209547	0.043158	-0.010547	-0.0151575	0.0268816	-0.0807219	0.0112177	0.0165838	15.6134800759867
HG00171	HG00171	0.0565679	0.0860874	-0.0377788	-0.0298249	0.0420884	-0.0171235	0.0260735	-0.0309356	0.0517986	0.0560938	12.220549421333
HG00173	HG00173	0.0110407	0.0772583	-0.117936	-0.00226982	0.0235466	0.0147923	0.0111054	-0.034783	-0.0670187	-0.0125496	12.8520199681635
HG00174	HG00174	0.0541405	0.0649235	-0.024379	-0.00395833	0.058532	0.000737302	-0.018996	-0.0128213	-0.00215757	-0.0137715	16.723655104776
HG00176	HG00176	0.0523631	0.077887	-0.0315968	-0.0335528	0.0418368	-0.016924	-0.0168857	-0.00710066	-0.0137491	-0.0241818	12.9772106844509
HG00177	HG00177	0.0117184	0.0777766	-0.122179	-0.00893187	0.0251419	-0.00827053	0.0083803	-0.0592207	-0.0480277	-0.0506238	12.6462527619119
HG00178	HG00178	0.052241	0.0708593	-0.0190357	-0.00849713	0.0314084	0.00958273	-0.0348937	0.00194244	-0.00931338	-0.0384384	11.0958403881218
HG00179	HG00179	0.015093	0.0698697	-0.110077	0.0143769	0.0304821	0.00403264	-0.0313085	-0.0297198	-0.0350176	-0.134374	13.8534203746449
HG00180	HG00180	0.0153012	0.067155	-0.0991915	0.00835476	0.027427	0.00273645	0.0128718	-0.0272286	-0.0264126	0.0133985	13.4835055008217
HG00182	HG00182	0.0536744	0.0824524	-0.0330603	-0.0150625	0.0594669	-0.0102435	0.00610099	-0.0107649	-0.0428459	-0.021486	13.0815090981866
HG00183	HG00183	0.0523009	0.0835939	-0.0271467	-0.0242071	0.0389199	-0.0236146	0.024584	-0.0121185	0.0304332	0.0540806	15.2947712813198
HG00185	HG00185	0.0491087	0.0850646	-0.0196365	-0.0359256	0.0155795	0.00637604	-0.00362558	-0.000448251	0.00549382	-0.0586244	13.0915582941638
HG00186	HG00186	0.054076	0.0865062	-0.0322674	-0.0259018	0.042866	-0.0240586	-0.020669	-0.0103341	-0.0265078	0.00757077	14.491287262029
HG00187	HG00187	0.0533822	0.0887496	-0.0352598	-0.040279	0.0422942	-0.00611454	0.00723568	0.00961997	-0.0493683	-0.0499716	13.6958223882301
HG00188	HG00188	0.0540373	0.0741558	-0.0291153	-0.0200104	0.0601771	-0.0115025	0.0179871	-0.0377314	0.0185703	0.0499224	14.0690897605724
HG00189	HG00189	0.0544299	0.0720317	-0.0300616	-0.00997507	0.0567918	-0.0121875	-0.014985	0.0339134	-0.00993207	0.0357866	16.9677154693807
HG00231	HG00231	0.0118293	-0.00731921	-0.0762847	0.0958508	0.0851595	-0.045743	0.0282328	-0.0866856	-0.0349642	0.0955104	9.17440975975917
HG00232	HG00232	0.0202142	-0.0133093	0.055782	0.0322949	-0.0468166	-0.0303701	-0.0666113	0.0390151	-0.104295	-0.0295899	11.4396936791371
HG00233	HG00233	0.0394625	-0.00948257	0.0255391	0.0582933	0.0389554	-0.0311247	-0.0487203	-0.0245877	-0.00810076	0.0235364	11.629043124129
HG00234	HG00234	-0.162411	0.0172643	0.0210806	0.0417041	0.0417304	-0.0132329	-0.0324984	-0.00619408	0.0854927	0.0254991	9.32108051973254
HG00235	HG00235	-0.164759	0.025755	0.0625829	0.0348162	0.0322188	-0.0110258	0.0103751	-0.0392929	0.0581009	0.00678257	12.031062953462
HG00236	HG00236	0.0233398	-0.0103137	0.0483075	0.0427502	-0.0444615	-0.0204312	-0.0522861	-0.00784166	-0.0139985	0.00213381	13.2623897195031
HG00238	HG00238	-0.122445	0.0285978	0.182744	0.0305845	0.0775769	-0.091822	-0.21072	0.0845688	-0.386523	0.290202	12.1567872443417
HG00239	HG00239	0.0386701	-0.00365137	0.0241499	0.0609978	0.0577762	-0.0423304	-0.00465615	0.00677912	-0.000371507	0.0270767	13.5845477481531
HG00240	HG00240	-0.119868	0.0283691	0.164986	0.0251583	0.0709643	-0.0722265	-0.179701	0.0479101	-0.334973	0.318012	13.3647549705459
HG00242	HG00242	0.0501217	-0.00134004	0.0269269	0.0790032	0.116278	-0.048206	-0.0540032	-0.0397203	-0.0292812	-0.0654146	15.0079566458561
HG00243	HG00243	0.0379	-0.00808355	0.0360093	0.0673959	0.0585378	-0.0340908	-0.0110519	-0.0118096	-0.0302855	-0.0151484	11.3369431268763
HG00244	HG00244	0.0391127	-0.00773303	0.0360515	0.0622943	0.0526476	-0.034527	-0.0418452	-0.0363136	0.00864622	0.0298884	13.6783057123996
HG00245	HG00245	0.0331964	-0.0107541	0.0292346	0.0365294	-0.0133055	-0.0165764	0.00449183	-0.0249194	-0.014071	0.0263923	14.9061377076328
HG00246	HG00246	0.030554	-0.00702709	0.0362562	0.027503	-0.0142392	0.0011988	-0.0423913	-0.0178263	-0.0461382	-0.00728944	17.9056308518883
HG00247	HG00247	0.0155305	-0.00393366	-0.0543082	0.0830566	0.0715535	-0.0140224	0.0242134	-0.00812158	-0.071806	0.030789	13.6294233058302
HG00249	HG00249	0.0163712	-0.014551	0.0463088	0.0316921	-0.0719363	-0.0305964	-0.00783538	0.0237437	-0.0420645	0.0991607	11.6080278654478
HG00250	HG00250	0.03545	-0.00482605	0.0329872	0.0490123	0.00750735	-0.0272881	-0.0241852	-0.0204853	0.00376571	0.0149497	12.9961071867568
HG00251	HG00251	0.0345622	-0.0101922	0.0406246	0.0517264	0.0281658	-0.0198561	-0.0270436	0.0566944	-0.0691714	0.0309238	13.7384058409656
HG00252	HG00252	0.0250246	-0.00902637	0.0432612	0.0334441	-0.0414113	-0.0290848	0.0568279	-0.0376196	0.011789	0.092372	11.7788896501943
HG00253	HG00253	0.0229673	-0.0124923	0.0435615	0.0463743	-0.0601022	-0.0138712	-0.00444913	0.0322186	-0.0313157	-0.016525	13.8584497182736
HG00255	HG00255	-0.104624	0.0245047	0.136517	0.0131498	0.0460391	-0.0122698	-0.012344	-0.0330482	0.0329416	0.0468463	9.50087925991303
HG00256	HG00256	0.0236024	-0.0112764	0.045086	0.0359487	-0.0568575	-0.0268507	-0.0283943	0.0154099	-0.00669947	0.051898	15.0530661373096
HG00257	HG00257	0.020701	-0.0131143	0.0395626	0.0237172	-0.0388679	0.0129109	-0.0264196	0.0384833	-0.048834	0.00856924	16.3317629730961
HG00258	HG00258	0.0400325	-0.00774761	0.0444798	0.0482484	0.00345121	0.0141856	0.0124689	-0.0665251	0.0233077	0.0955313	12.0155955483527
HG00259	HG00259	0.0183518	-0.00943145	0.0468979	0.0358056	-0.0536439	0.00311251	-0.0418362	-0.000775376	-0.06394	-0.022089	14.37578592795
HG00260	HG00260	0.017097	-0.00379237	0.0369233	0.0306645	-0.0508964	-0.00121882	-0.0523684	-0.0017959	-0.0107641	-0.0123717	15.8124066428716
HG00261	HG00261	0.0173689	-0.0144497	0.0471713	0.0365299	-0.056199	-0.0184202	0.000259543	0.0301413	-0.0425559	0.0239607	14.5375538548032
HG00262	HG00262	0.0364807	-0.0103845	0.0418025	0.0540327	-0.00457651	0.00157491	0.0118781	-0.0429179	-0.0310826	-0.0520604	14.9407382722225
HG00263	HG00263	0.0208179	-0.00828455	0.0349366	0.0369357	-0.0274462	-0.0156553	-0.0283277	0.0251781	-0.0190528	-0.03013	12.4392334227866
HG00264	HG00264	0.0309531	-0.018021	0.0553416	0.0492071	-0.011176	-0.00372609	-0.0298346	-0.0544584	0.00359689	-0.015748	13.7020927976164
HG00265	HG00265	0.0512403	0.0011726	0.0216931	0.0913846	0.091022	-0.0449059	0.0551203	0.0307097	0.0487556	0.0922945	16.5723549952995
HG00266	HG00266	0.000224085	0.0736027	-0.122748	-0.00678595	0.0390922	0.00758472	0.065928	0.043418	-0.0352608	0.075657	14.6741667575357
HG00267	HG00267	0.0234715	0.0782896	-0.10482	-0.00267719	0.0552838	0.00568489	0.0253005	-0.0588249	-0.0118386	0.025667	10.6302346934486
HG00268	HG00268	0.0335184	0.0623172	0.000256514	-0.031424	-0.0602454	0.0160502	-0.0418316	0.0392751	0.0232784	-0.0736972	13.5427994011498
HG00269	HG00269	0.018843	0.0878994	-0.126792	-0.00568173	0.0274731	0.00755617	0.00427652	-0.00437499	-0.0229512	-0.00120966	13.8315071270948
HG00271	HG00271	0.0315368	0.0928935	-0.0224387	-0.0777468	-0.0681708	0.00890407	-0.00500932	0.0338595	-0.00357962	-0.00222552	13.3364668592849
HG00272	HG00272	0.0558451	0.0898237	-0.049903	-0.035397	0.0661108	-0.0129397	0.0444061	0.00183549	-0.0312131	0.0534679	13.1009023467942
HG00273	HG00273	0.0311724	0.0627593	-0.000475278	-0.0403392	-0.0645563	0.00785622	-0.00287252	0.0257289	0.00269387	-0.0333475	13.6570054819879
HG00274	HG00274	0.0452679	0.0738464	-0.0194482	-0.0181413	-0.00312182	0.00423277	-0.0363543	0.00765211	0.00535408	-0.0608318	14.1460761434737
HG00275	HG00275	0.0432442	0.0598899	-0.0179508	-0.0263957	-0.0144353	0.0105657	0.00856105	0.0419215	0.0311331	-0.0072867	10.0490239444865
HG00276	HG00276	0.0450796	0.080366	-0.0264774	-0.0421614	0.00329654	-0.00530233	-0.00358996	-0.0438635	0.0282921	0.0108943	12.5440341475383
HG00277	HG00277	0.0375068	0.0477087	-0.00159556	-0.00962906	-0.0386062	0.0114515	0.0325493	0.00836417	0.0450069	0.019335	10.6917519750434
HG00278	HG00278	0.0447301	0.0786452	-0.0235507	-0.0558463	-0.0244255	0.0135183	0.0163962	-0.0206614	-0.00566044	0.0704619	15.4445930950913
HG00280	HG00280	0.0452588	0.0746016	-0.0143801	-0.0392139	-0.00956629	0.0400678	0.0595801	0.0190151	-0.00144422	0.0428077	13.458873941462
HG00281	HG00281	0.045249	0.0741239	-0.0200179	-0.0519531	-0.0248344	0.00417977	0.0372142	0.037606	-0.00257251	0.0748591	12.9359349476805
HG00282	HG00282	0.0413303	0.0757248	-0.00752992	-0.0427982	-0.0376589	0.00921833	-0.0231609	0.0418525	-0.0160566	-0.0355847	12.6708104286987
HG00284	HG00284	0.0421828	0.0713765	-0.0198176	-0.0421514	-0.0142529	-0.00479665	0.0473621	0.0408309	0.0156534	0.0799027	12.0395531077768
HG00285	HG00285	0.0427863	0.0843183	-0.0153509	-0.056995	-0.0478409	0.0111265	0.00828346	-0.0266941	-0.0475471	0.0487217	13.7648549850407
HG00306	HG00306	0.056478	0.0620301	-0.0268011	0.00607655	0.0672559	-0.0203886	0.0293077	0.00202115	0.0160762	0.058168	14.4243551337336
HG00309	HG00309	0.0288896	0.071699	-0.00394934	-0.0476338	-0.0756298	0.00614802	0.000583753	0.0201469	0.0219727	0.0295393	10.0263603654703
HG00310	HG00310	0.0428257	0.0643443	-0.00789408	-0.00725661	-0.0215177	0.0132962	-0.0270657	-0.0180078	-0.0302612	-0.0516526	12.0497124429589
HG00311	HG00311	0.0554863	0.0541838	-0.019354	0.0150991	0.0747726	-0.0241394	-0.0188062	-0.0340383	0.0265472	-0.0152211	12.3776659156839
HG00312	HG00312	0.0503544	0.0630728	-0.0177213	-0.00450472	0.0371809	-0.0111645	-0.0225912	-0.061241	-0.0167093	0.0350241	11.759790267242
HG00313	HG00313	0.0432332	0.0813233	-0.0273231	-0.0517322	-0.0227744	0.0198906	-0.00735395	0.00074281	-0.00369585	0.0172652	11.1526425231606
HG00315	HG00315	0.0406259	0.0706983	-0.00999981	-0.0300055	-0.0513928	0.00281305	-0.041169	-0.0363404	-0.0571474	-0.0373685	12.221889361068
HG00319	HG00319	0.0426731	0.0780248	-0.0164293	-0.0341705	-0.0219989	0.0216368	-0.0607593	0.0284868	-0.0741121	-0.0737504	13.2411644666307
HG00320	HG00320	0.0420154	0.0644405	-0.0129219	-0.0386551	-0.0110749	0.00643209	0.000402799	0.00582751	0.0250464	-0.0369876	13.7797744773714
HG00321	HG00321	0.0438177	0.0790832	-0.0236949	-0.0403503	0.00441026	-0.00273478	-0.0339789	0.0404017	0.00829837	0.0244329	12.0100867157524
HG00323	HG00323	0.0440068	0.0875719	-0.0271987	-0.0526191	-0.0229136	0.0173739	0.0113957	0.00458615	-0.00632631	0.00839523	13.4454247393888
HG00324	HG00324	0.0496556	0.0961554	-0.0212061	-0.0531053	-0.00387408	0.0158037	-0.0141141	0.00564425	-0.0370978	0.0447268	11.2543419401695
HG00325	HG00325	0.0481674	0.0956362	-0.0272488	-0.0567819	-0.0196177	0.0192451	0.00502949	0.0256769	-0.00448256	0.115462	12.39702742677
HG00326	HG00326	0.0425018	0.073613	-0.01855	-0.0303672	-0.0411665	-0.0166313	0.0251584	-0.0332864	-0.0130834	0.0747789	13.0199533229113
HG00327	HG00327	0.0411069	0.0739465	-0.0208632	-0.0396967	-0.0333079	-0.00514909	-0.00205865	0.0137304	-0.00874961	0.0359343	12.9976393572856
HG00328	HG00328	0.0525308	0.0751823	-0.0287581	-0.0253943	-0.0158934	-0.0101588	0.0323638	0.00175587	0.00722781	0.0648644	11.5650077008519
HG00329	HG00329	0.043924	0.0622329	-0.0114287	-0.0340483	-0.0262908	0.0107643	-0.0099947	0.00524621	-0.00987136	0.0341861	6.51964732557798
HG00330	HG00330	0.0426363	0.0660646	-0.0052203	-0.00983649	-0.01679	0.0146434	-0.00745104	-0.0163902	-0.0180348	-0.0416771	12.0013097332468
HG00331	HG00331	0.044672	0.0624117	-0.00673117	-0.0248079	-0.0132872	0.0162613	0.0133315	-0.0505644	0.0464385	0.00203362	13.4226553218553
HG00332	HG00332	-0.0623799	0.0852771	0.0659495	-0.0441839	-0.00394438	-0.00289049	-0.0497256	0.0586935	-0.011753	-0.104661	13.9106195263839
HG00334	HG00334	0.0462285	0.0639624	-0.0123403	-0.0226237	0.0184869	0.0296841	-0.0125611	-0.00188958	-0.0736606	0.0131642	14.7311710596699
HG00335	HG00335	0.0381078	0.0663976	-0.0152287	-0.0437037	-0.0478552	6.51109e-05	0.048222	0.0377855	0.0314432	0.0497899	11.5006577245421
HG00336	HG00336	0.0409629	0.0789531	-0.0252428	-0.0471729	-0.0252596	0.00889268	-0.00835442	0.0270798	-0.000539159	0.0524261	11.8603420617215
HG00337	HG00337	0.029809	0.0545184	0.00504221	-0.0133398	-0.0462168	0.00731481	0.0252442	0.0187957	-0.0144723	-0.00263912	13.8074013948491
HG00338	HG00338	0.03499	0.0767648	-0.00839766	-0.037163	-0.0468734	0.00709599	-0.00327673	0.055805	-0.00486322	0.042317	13.3328945447317
