SNP	gene	impact	most_severe_consequence	consequence_terms	biotype	amino_acids	protein_start	protein_end	sift_prediction	polyphen_prediction	CADD_PHRED_max	PIP	R2_to_lead	score	is_lead
rs38035	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs38036	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs38041	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs38042	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs7713127	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs7722694	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs7736466	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0119433789245993	0.978642	0.4	0
rs2548535	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0107117623024308	0.952758	0.4	0
rs10076136	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0095109440627551	0.973523	0.4	0
rs12716486	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0095109440627551	0.973523	0.4	0
rs1559267	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0095109440627551	0.973523	0.4	0
rs1820149	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0095109440627551	0.973523	0.4	0
rs7700332	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0095109440627551	0.973523	0.4	0
rs2161658	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0093510909668235	0.952758	0.4	0
rs2548540	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0091036614818426	0.943129	0.4	0
rs6556943	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090979655668524	0.952758	0.4	0
rs1216565	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0090863002316257	0.957698	0.4	0
rs1216569	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0090863002316257	0.957698	0.4	0
rs1363975	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs1363977	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs1423568	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs17087165	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs171647	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs187265	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs193993	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs1981846	LNPEP	MODIFIER	intron_variant	upstream_gene_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2042383	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2042385	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2113189	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2113190	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2113191	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2161657	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2255633	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2255634	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2255637	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs251342	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548521	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548522	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548523	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548524	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548526	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548527	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548528	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548529	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548533	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548534	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548536	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2548537	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549784	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549785	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549787	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549788	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549789	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549790	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549792	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549795	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2549801	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs2910688	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs33934033	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs3849750	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs6874656	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090863002316257	0.957698	0.4	0
rs6859160	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090585332538318	0.947902	0.4	0
rs6873441	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0090585332538318	0.947902	0.4	0
rs10071975	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.008503138761919	0.968183	0.4	0
rs2548520	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0082755279550567	0.952479	0.4	0
rs27296	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0070472268491453	0.968296	0.4	0
rs27621	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0070472268491453	0.968296	0.4	0
rs2548539	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0065606493687413	0.952005	0.4	0
rs38037	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0064235267114604	0.951782	0.4	0
rs11135485	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0061020429479029	0.946351	0.4	0
rs13163165	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0055958402392027	0.891342	0.4	0
rs2549799	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0055451550563699	0.947902	0.4	0
rs10069361	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs27294	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs27613	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs2910787	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs31398	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs38040	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs42983	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs6870825	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs79860256	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0046095042657893	0.947127	0.4	0
rs27299	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0045568597696915	0.952224	0.4	0
rs2247650	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0039999037580093	0.909951	0.4	0
rs2549791	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0038506922064111	0.947902	0.4	0
rs10061936	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0035601081932993	0.915447	0.4	0
rs193994	ERAP2	MODIFIER	intron_variant	downstream_gene_variant	protein_coding							0.0035362446683046	0.925863	0.4	0
rs2549800	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0032976625345007	0.952479	0.4	0
rs3096167	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0032030335329369	0.904907	0.4	0
rs3096168	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0032030335329369	0.904907	0.4	0
rs251344	ERAP2	MODIFIER	intron_variant	downstream_gene_variant	protein_coding							0.0031108878506922	0.947038	0.4	0
rs2548525	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0024286853986908	0.938437	0.4	0
rs2549798	ERAP2	MODIFIER	non_coding_transcript_exon_variant	intron_variant	protein_coding							0.0024286853986908	0.938437	0.4	0
rs1216570	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0014773347557262	0.803091	0.4	0
rs251339	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0011715359636392	0.871114	0.4	0
rs1216568	CTD-2260A17.2	MODIFIER	intron_variant	intron_variant,non_coding_transcript_variant	processed_transcript							0.0010418600888391	0.890328	0.4	0
rs2548531	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0009381863292216	0.857037	0.4	0
rs2549786	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0009381863292216	0.857037	0.4	0
rs3797796	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002723510721226	0.818084	0.4	0
rs10434708	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs10434709	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs11135482	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs11135484	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs11750025	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs12189125	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs12654015	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs13189819	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs1559354	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs2278018	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs2278019	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs2303208	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs2303209	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs4869311	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs4869312	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs6868302	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs7721944	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002402893364505	0.814637	0.4	0
rs11135483	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002348162669752	0.800617	0.4	0
rs56197090	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0002160086837036	0.810268	0.4	0
rs13167902	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0001756432116289	0.800759	0.4	0
rs27300	LNPEP	MODIFIER	intron_variant	intron_variant	protein_coding							0.0001726090271896	0.805335	0.4	0
rs3734015	ERAP2	MODIFIER	intron_variant	intron_variant	protein_coding							0.0001618427265364	0.804869	0.4	0
